Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
CHEM 313 LEC 1,Special Topics in Physical Chemistry,16W,3,TR 11:00AM-12:15PM,Salman Noshear Arshad
CHEM 320 LAB 1,Inorganic Chemistry Lab,16W,2,M 8:00AM-10:50AM,Ghayoor Abbas Chotana
CHEM 334 LEC 1,Advanced Organic Chemistry,16W,3,TR 9:30AM-10:45AMRahman,Shah Zaib
CHEM 511 LEC 1,Advanced Physical Chemistry I,16W,3,MW 5:00PM-6:15PM,Falak Sher
CHEM 515 LEC 1,Polymer Science and Technology,16W,3,TR 4:00PM-5:15PM,Basit Yameen
CHEM 523 LEC 1,Organotransition Metal Chemistry,16W,3,MW 2:00PM-3:15PM,Ghayoor Abbas Chotana
CHEM 533 LEC 1,Organic Spectroscopy,16W,3,TR 5:00PM-6:15PMRahman,Shah Zaib
CHEM 711 LEC 1,Selected Topics in Physical Chemistry,16W,3,MW 8:00AM-9:15AM,Falak Sher
CHEM 712 LEC 1,Quantum Chemistry and Spectroscopy,16W,3,MW 2:30PM-3:45PM,Habib-ur- Rehman
CHEM 712 LEC 1,CLCA 1122 Readings in Urdu Literature,16W,4,MW 4:00PM-5:50PM,Zahid Hussain
CLCA 1212 LEC 1,Elements of a Screenplay,16W,4,MW 12:00PM-1:50PM,Usama Mumtaz Lali
CLCA 2124 LEC 1,Naya Urdu Afsana,16W,4,TR 4:00PM-5:50PM,TBA
CLCA 2128 LEC 1,Partition Literature in Urdu,16W,4,MW 4:00PM-5:50PM,Nasir Abbas
CLCA 2214 LEC 1,Mechanics of Film,16W,4,TR 12:00PM-1:50PM,Zebunnisa Hamid
CLCA 2310 LEC 1,Fiction Writing Workshop,16W,4,TR 2:00PM-3:50PM,Bilal Tanweer
CLCA 2402 LEC 1,Book Illustration,16W,4,MW 9:00AM-10:50AM,Mahnoor Azeem
CLCA 3113 LEC 1,Kafka,16W,4,MW 12:00PM-1:50PM,Bilal Tanweer
CLCA 3116 LEC 1,Writing About Great Books,16W,4,MW 2:00PM-3:50PM,Maryam Wasif Khan
CLCA 3217 LEC 1,CS 100 Computational Problem Solving,16W,3,MW 8:00AM-8:50AMMuhammad,Fareed
CS 200 LEC 1,Introduction to Programming,16W,4,TR 2:30PM-3:45PM,Muhammad Saqib Ilyas
CS 200 LEC 1,CS 202 Data Structures,16W,3,MW 9:00AM-10:15AM,Maryam Abdul Ghafoor
CS 202 LEC 1,CS 300 Advanced Programming,16W,3,TR 9:30AM-10:45AM,Waqar Ahmad
CS 334 LEC 1,CS 360 Software Engineering,16W,3,MW 9:00AM-10:15AM,Naveed Arshad
CS 382 LEC 1,Network-Centric Computing,16W,3,MW 12:00PM-1:15PM,Momina Khan
CS 382 LEC 1,CS 432 Introduction to Data Mining,16W,3,MW 3:00PM-4:15PM,Asim Karim
CS 432 LEC 1,CS 437 Deep Learning,16W,3,MW 4:00PM-5:15PM,Murtaza Taj
CS 437 LEC 1,CS 439 Algorithmic Foundation of Big Tech,16W,3,TR 2:30PM-3:45PM,Imdad ullah khan
CS 466 LEC 1,CS 473 Network Security,16W,3,TR 11:00AM-12:15PM,Basit Shafiq
CS 473 LEC 1,CS 487 Cloud Development,16W,3,MW 10:30AM-11:45AMSyed,Muhammad
CS 5302 LEC 1,Foundations of Generative AI,16W,3,MW 2:00PM-3:15PM,Agha Ali Raza
CS 677 LEC 1,Internet of Things,16W,3,TR 5:00PM-6:15PM,Naveed Anwar Bhatti
DISC 112 LEC 1,Computer and Problem Solving,16W,4,MW 9:30AM-10:45AM,Mahira Ilyas
DISC 203 LEC 1,Probability and Statistics,16W,3,TR 3:30PM-4:45PM,Usman Elahi
DISC 212 LEC 1,Introduction to Management Science,16W,3,TR 11:00AM-12:15PM,Zaid Saeed Khan
DISC 231 LEC 1,Operations Management,16W,3,TR 11:00AM-12:15PM,TBA
DISC 321 LEC 1,Decision Analysis,16W,4,MW 9:00AM-10:50AMSheikh,Attique Ur
DISC 323 LEC 1,Decision Behaviour,16W,3,MW 2:00PM-3:15PMSheikh,Attique Ur
DISC 327 LEC 1,Risk Management Process,16W,3,MW 5:00PM-6:15PM,Ahmed Majeed Khan
DISC 420 LEC 1,Business Analytics,16W,3,MW 12:30PM-1:45PM,Maheen Aamir Syed
DISC 7602 LEC 1,Advanced Research Methods,16W,3,R 12:30PM-3:30PMMuhammad,Ghufran
ECON 100 LEC 1,Principles of Economics,16W,4,MW 4:00PM-5:50PM,Nadia Mukhtar Sayed
ECON 111 LEC 1,Principles of Microeconomics,16W,4,TR 4:00PM-5:15PM,Hana Zahir
ECON 121 LEC 1,Principles of Macroeconomics,16W,4,TR 2:30PM-3:45PM,Fahd Ali
ECON 211 LEC 1,Intermediate Microeconomics,16W,4,MW 12:00PM-1:50PM,Syed Muhammad Hasan
ECON 213 LEC 1,Behavioral Economics,16W,4,TR 12:00PM-1:50PM,Farah Said
ECON 221 LEC 1,Intermediate Macroeconomics,16W,4,MW 2:00PM-3:50PM,Antonio Marasco
ECON 230 LEC 1,Statistics and Data Analysis,16W,4,MW 4:00PM-5:30PM,Usman Elahi
ECON 233 LEC 1,Introduction to Game Theory,16W,4,TR 10:00AM-11:50AM,Lyyla Khalid
ECON 233 LEC 1,ECON 240 Development Economics,16W,4,TR 3:00PM-4:50PM,Nadia Mukhtar Sayed
ECON 261 LEC 1,Principles of Finance,16W,4,TR 10:00AM-11:50AM,Sheraz Latif Malik
ECON 314 LEC 1,Law and Economics,16W,4,MW 2:00PM-3:50PM,Syed Ali Hasanain
ECON 330 LEC 1,Econometrics,16W,4,MW 1:00PM-2:30PM,Adeel Tariq
ECON 3403 LEC 1,Managing Pakistan Economy,16W,4,TR 4:30PM-6:20PM,Syed Ali Hasanain
ECON 352 LEC 1,International Finance,16W,4,MW 1:30PM-3:20PM,Usman Elahi
ECON 3602 LEC 1,Money and Central Banking,16W,4,TR 4:00PM-5:50PM,Daniyal Khan
ECON 3604 LEC 1,Bank Financial Management,16W,4,MW 10:00AM-11:50AM,Ahmed M. Khalid .
ECON 411 LEC 1,Advanced Microeconomics,16W,4,TR 10:00AM-11:50AM,Mushtaq Ahmad Khan
ECON 4113 LEC 1,Introduction to Decision Theory,16W,4,MW 10:00AM-11:50AM,Osama Khan
ECON 414 LEC 1,Applied Microeconomics,16W,4,TR 11:00AM-12:50PM,Abid Aman Burki
ECON 421 LEC 1,Advanced Macroeconomics,16W,4,MW 11:00AM-12:50PM,Antonio Marasco
ECON 428 LEC 1,East Asian Economies,16W,4,TR 10:00AM-11:50AM,Ahmed M. Khalid .
ECON 441 LEC 1,Development Economics Theory,16W,4,MW 10:00AM-11:50AM,Khalid Mir
ECON 4410 LEC 1,Issues in Economic Policy,16W,4,MW 9:00AM-10:50AM,Ijaz Nabi
ECON 4414 LEC 1,Topics in Energy Economics,16W,4,TR 9:00AM-10:50AM,Ayesha Ali
ECON 521 LEC 1,Macroeconomic Analysis,16W,4,MW 3:00PM-4:50PM,Syed Zahid Ali
EDU 213 LEC 1,Philosophy of Education,16W,3,TR 11:30AM-12:45PM,Hasham Nasir
EDU 216 LEC 1,Globalization and Language,16W,3,TR 10:00AM-11:15AM,Sannia Hussain
EDU 220 LEC 1,"Curriculum, Teaching and Learning",16W,3,TR 2:00PM-3:15PM,Ayesha Husain
EDU 225 LEC 1,Motivation and Learning,16W,3,MW 10:00AM-11:15AM,Aaishay Haque
EDU 3103 SEM 1,Educational Inequalities in South Asia,16W,3,W 2:00PM-4:50PM,Khansa Maria
EDU 315 LEC 1,Education in the Globalized World,16W,3,TR 2:00PM-3:15PM,Farah Syed
EDU 3209 LEC 1,Mindfulness and Resilience,16W,3,TR 11:30AM-12:45PM,Fizza Suhail
EDU 3215 LEC 1,Understanding Diversity in Disability,16W,3,TR 2:00PM-3:15PM,Mariam Haider
EDU 345 LEC 1,Practicing Leadership,16W,3,MW 2:00PM-3:15PM,Hasham Nasir
EDU 413 LEC 1,What does it mean to 'be educated'?,16W,3,M 2:00PM-4:50PM,Irfan Muzaffar
EDU 424 LEC 1,EDU 453 Politics of Education Reform,16W,3,MW 3:30PM-4:45PM,Soufia Anis Siddiqi
EDU 453 SEM 1,EDU 541 School Effectiveness and Development,16W,3,M 10:00AM-12:50PM,Jessica Albrent
EDU 561 LEC 1,Applied Data Analysis,16W,3,TR 2:00PM-3:15PM,TBA
EDU 562 LAB 1,Data Lab,16W,1,W 10:00AM-12:50PM,Ahmad Ayub
EE 220 LEC 1,Digital Logic Circuits,16W,3,TR 5:00PM-6:15PMMuhammad,Jahangir
EE 220 LAB 1,EE 220L Digital Logic Circuits Lab,16W,1,W 3:00PM-5:50PMMuhammad,Jahangir
EE 242 LEC 1,Circuits II,16W,3,TR 9:30AM-10:45AM,Muhammad Tahir
EE 3002 LEC 1,Junior Design Studio - Robotics,16W,3,TR 4:00PM-4:50PM,Hassan Jaleel
EE 310 LEC 1,Signals and Systems,16W,3,TR 11:00AM-12:15PM,Momin Ayub Uppal
EE 320 LEC 1,EE 341 Microelectronic Design,16W,3,MW 9:00AM-10:15AM,Muhammad Ali Siddiqi
EE 361 LEC 1,Feedback Control Systems,16W,3,TR 2:00PM-3:15PM,Hassan Jaleel
EE 434 LEC 1,Principles of Optics,16W,3,TR 12:30PM-1:45PMMuhammad,Imran
EE 434 LEC 1,EE 452 Power Electronics,16W,3,MW 10:30AM-11:45AM,Hafsa Qamar
EE 452 LAB 1,EE 452L Power Electronics Lab,16W,1,M 2:30PM-5:20PM,Hafsa Qamar
EE 514 LEC 1,Machine Learning,16W,3,TR 9:30AM-10:45AM,Zubair Khalid
EE 514 LEC 1,EE 5214 Verification of Digital Systems,16W,3,MW 2:00PM-3:15PM,TBA
EE 522 LEC 1,Embedded Systems,16W,3,TR 4:00PM-5:15PMMuhammad,Adeel
EE 523 LEC 1,VLSI Design,16W,3,MW 11:00AM-12:15PM,Shahid Masud
EE 525 LEC 1,Photovoltaic Devices,16W,3,MW 1:00PM-2:15PM,Nauman Zafar Butt
EE 525 LEC 1,EE 5512 Power System Operation and Control,16W,3,TR 3:00PM-4:15PM,Raheel Zafar
EE 557 LEC 1,Electricity Markets,16W,3,TR 4:30PM-5:45PM,Hassan Abbas Khan
EE 558 LEC 1,Battery Energy Storage Systems,16W,3,MW 4:30PM-5:45PM,Ijaz Haider Naqvi
EE 5614 LEC 1,Learning for Dynamics and Control,16W,3,MW 9:30AM-10:45AM,Abubakr Muhammad
EE 563 LEC 1,Convex Optimization,16W,3,TR 2:00PM-3:15PM,Hassan Mohy-ud-Din
ENGG 100 LAB 1,Design and Measurement Lab,16W,2,T 1:30PM-6:20PM,Muhammad Abubakr
ENGL 1102 LEC 1,Writing South Asia,16W,4,MW 4:00PM-5:50PM,Younis Bin Azeem
ENGL 1111 LEC 1,The Word and the World,16W,4,TR 4:00PM-5:50PM,Furrukh A. Khan
ENGL 2212 LEC 1,ENGL 2432 Narrative Essays,16W,4,TR 1:00PM-2:50PM,Younis Bin Azeem
ENGL 2713 LEC 1,Literature of Conflict,16W,4,TR 2:00PM-3:50PM,Furrukh A. Khan
ENV 102 LEC 1,Introduction to Environmental Studies,16W,4,TR 2:00PM-3:50PM,Sana Khosa
ENV 210 LEC 1,Methods in Environmental Studies,16W,4,MW 2:30PM-4:20PM,Fazilda Nabeel
ENV 322 LEC 1,Environmental Governance,16W,4,MW 2:00PM-3:50PM,Sana Khosa
ENV 322 LEC 1,ENV 334 Politics of Water,16W,4,MW 12:30PM-2:20PM,Fazilda Nabeel
ENV 334 LEC 1,ENV 442 Conceptualizing Cities,16W,4,TR 2:00PM-3:50PM,Maryam Ibrahim
ENV 442 LEC 1,FINN 100 Principles of Finance,16W,3,MW 11:00AM-12:15PM,Bushra Naqvi
FINN 200 LEC 1,Intermediate Finance,16W,3,MW 8:00AM-9:15AMSyed,Hashim Mahmood
FINN 321 LEC 1,Econometrics,16W,3,TR 9:30AM-10:45AM,Syed Zahid Ali
FINN 372 LEC 1,Actuarial Sciences and Insurance,16W,3,MW 2:00PM-3:15PM,Nauman Afzal Cheema
FINN 400 LEC 1,Applied Corporate Finance,16W,3,MW 3:30PM-4:45PM,Syed Aun Raza Rizvi
FINN 453 LEC 1,Financial Derivatives,16W,3,TR 11:00AM-12:15PM,Ferhana Ahmed
FINN 454 LEC 1,Portfolio Management,16W,3,MW 11:00AM-12:15PM,TBA
FINN 7001 LEC 1,Corporate Finance,16W,3,F 8:00AM-11:00AMChoudhry,Tanveer
FINN 7801 LEC 1,Econometrics,16W,3,W 12:30PM-3:30PM,Ummad Mazhar
GSS 366 LEC 1,GSS 416 Gender Trouble,16W,4,TR 3:30PM-5:20PM,Maria Amir
HIST 102 LEC 1,Introduction to World History,16W,4,MW 2:00PM-3:50PM,Hassan Haider Karrar
HIST 127 LEC 1,A Peoples History of Pakistan,16W,4,TR 12:00PM-1:50PM,Ilyas Ahmad Chattha
HIST 2211 LEC 1,Modern East Asian History,16W,4,MW 10:00AM-11:50AM,Hassan Haider Karrar
HIST 3219 LEC 1,Capitalism: A History,16W,4,MW 12:00PM-1:50PM,Waqar Zaidi
HIST 3219 LEC 1,HIST 343 Progress and its Discontents,16W,4,TR 12:00PM-1:50PMMian,Muhammad
LANG 1202 LEC 1,Arabic for Quran,16W,4,WF 2:30PM-4:20PM,Hafiz Abdul Qadeer
LANG 1203 LEC 1,Hindi for Non-Native Speakers,16W,4,MW 3:00PM-4:50PM,TBA
LANG 1204 LEC 1,Kashmiri I,16W,4,MW 8:00AM-9:50AM,TBA
LANG 122 LEC 1,Introduction to Balochi Language,16W,4,TR 2:00PM-3:50PM,Jahanzeb Baloch
LANG 123 LEC 1,Introduction to Punjabi Language,16W,4,MW 11:00AM-12:50PM,Zahid Hussain
LANG 124 LEC 1,Introduction to Arabic Language,16W,4,WF 4:30PM-6:20PM,Hafiz Abdul Qadeer
LANG 127 LEC 1,Introduction to Persian Language,16W,4,TR 12:00PM-1:50PM,Samina Arifa
LANG 128 LEC 1,Sindhi for Non-Sindhi Speakers,16W,4,MW 4:00PM-5:50PM,Ashok Kumar Khatri
LANG 129 LEC 1,Pashto for Non-Native Speakers,16W,4,MW 11:00AM-12:50PM,Imad .
LAW 101 LEC 1,Introduction to Legal Reasoning,16W,4,MW 2:00PM-3:50PM,Maria Farooq
LAW 210 LEC 1,Concept of Law,16W,4,MW 11:00AM-12:50PM,Sarah Humayun
LAW 223 LEC 1,Commercial Law,16W,4,TR 1:00PM-2:50PM,Faiza .
LAW 224 LEC 1,Property Law,16W,4,MW 4:00PM-5:50PM,Asad Farooq
LAW 225 LEC 1,Islamic Legal Theory,16W,4,TR 3:30PM-5:20PM,TBA
LAW 232 LEC 1,Public Law,16W,4,MW 2:00PM-3:50PM,Adnan Sattar
LAW 320 LEC 1,"Equity, Specific Relief and Trusts",16W,4,TR 4:00PM-5:50PM,TBA
LAW 3204 LEC 1,LAW 3205 International Business Transactions,16W,4,MW 2:00PM-3:50PM,Syeda Zehra Zaidi
LAW 3211 LEC 1,"The Corporation, Law, and Society",16W,4,MW 1:00PM-2:50PMSheharyar,Sikander
LAW 323 LEC 1,Tax Law,16W,4,MW 4:00PM-5:50PM,Akhtar Ali
LAW 326 LEC 1,Intellectual Property Law,16W,4,TR 10:00AM-11:50AMMaria,Farrukh Irfan
LAW 3504 LEC 1,Gender Justice and Law,16W,4,TR 2:00PM-3:50PM,TBA
LAW 3504 LEC 1,LAW 3611 Family Law,16W,4,MW 12:00PM-1:50PM,Maria Farooq
LAW 3912 SEM 1,LAW 4103 Martial Law,16W,2,W 10:00AM-11:50AM,Sadaf Aziz
LAW 4507 LEC 1,Refugee Law and Migration,16W,4,TR 11:00AM-12:50PM,Madiha Talat
LAW 4513 LEC 1,LAW 470 Evidence,16W,4,TR 10:00AM-11:50AM,Muhammad Azeem
LAW 472 LEC 1,Criminal Procedure,16W,4,MW 4:00PM-5:50PM,Hammad Saeed
LAW 4905 LEC 1,"Law, Social Change, and Resistance",16W,4,MW 2:00PM-3:50PM,Muhammad Umar Ali
LAW 4906 LEC 1,LUMS Law Clinic,16W,4,MW 10:00AM-11:50AM,TBA
LAW 4924 LEC 1,Prison Paralegal Clinic,16W,4,TR 8:00AM-9:50AM,Angbeen Atif Mirza
MATH 100 LEC 1,Pre-Calculus,16W,3,MW 9:30AM-10:45AM,TBA
MATH 101 LEC 1,Calculus I,16W,3,MW 5:00PM-6:15PM,Adnan Khan
MATH 102 LEC 1,Calculus II,16W,3,TR 10:00AM-11:15AM,Shehryar Sikander
MATH 205 LEC 1,Introduction to Analysis I,16W,3,TR 1:00PM-2:15PM,Shaheen Nazir
MATH 230 LEC 1,Probability,16W,3,TR 3:30PM-4:45PM,Reza Abdolmaleki
MATH 230 LEC 1,MATH 3010 Advanced Calculus,16W,3,TR 11:30AM-12:45PM,Shehryar Sikander
MATH 310 LEC 1,Ordinary Differential Equations,16W,3,MW 2:00PM-3:15PM,Sultan Sial
MATH 320 LEC 1,Algebra I,16W,3,TR 5:00PM-6:15PM,TBA
MATH 404 LEC 1,Real Analysis,16W,3,TR 4:30PM-5:45PM,Waqas Ali Azhar
MATH 404 LEC 1,MATH 407 General Topology,16W,3,TR 12:00PM-1:15PM,Haniya Azam
MATH 407 LEC 1,MATH 445 Operations Research II,16W,3,MW 8:00AM-9:15AM,Kamran Rashid
MATH 445 LEC 1,MATH 449 Quantitative Finance,16W,4,MW 12:00PM-1:30PM,Adnan Khan
MECO 121 LEC 1,Principles of Macroeconomics,16W,3,TR 2:00PM-3:15PM,Sameen Zafar
MGMT 142 LEC 1,Principles of Management,16W,3,TR 12:30PM-1:45PMMuhammad,Hamza
MGMT 212 LEC 1,Business Communication,16W,3,MW 9:30AM-10:45AMFareed,Ud Din Farooq
MGMT 244 LEC 1,Reforming The Public Sector,16W,3,TR 11:00AM-12:15PM,Muhammad Ajmal
MGMT 247 LEC 1,Public Financial Management,16W,3,TR 2:00PM-3:15PM,Sajid Siddique
MGMT 252 LEC 1,Logic and Critical Thinking,16W,3,MW 2:00PM-3:15PM,Razi Allah Lone
MGMT 260 LEC 1,Business Law,16W,3,MW 9:30AM-10:45AM,Ali Sultan
MGMT 261 LEC 1,Introduction to Policy Analysis,16W,3,MW 8:00AM-9:15AM,Kamran Khan
MGMT 382 LEC 1,Social Entrepreneurship,16W,3,TR 11:00AM-12:15PM,Shezeen Salim Hemani
MGMT 400 LEC 1,Strategic Business Management,16W,3,TR 3:30PM-4:45PM,Raja Rub Nawaz
MGMT 462 LEC 1,Modern Thought in Social Policy,16W,3,TR 12:30PM-1:45PM,Muhammad Ahsan Rana
MGMT 481 LEC 1,Entrepreneurship,16W,3,TR 12:30PM-1:45PM,Saima Mujtaba Rana
MKTG 201 LEC 1,Principles of Marketing,16W,3,TR 9:30AM-10:45AM,Aaminah Zaman Malik
MKTG 302 LEC 1,Digital Marketing,16W,3,TR 9:30AM-10:45AM,Komal Zain
MKTG 322 LEC 1,Sales Force Management,16W,3,MW 2:00PM-3:15PMMuhammad,Luqman
MKTG 323 LEC 1,Channel Management,16W,3,MW 12:30PM-1:45PMMuhammad,Luqman
MKTG 324 LEC 1,Integrated Marketing Communications,16W,3,MW 9:30AM-10:45AM,Komal Zain
MKTG 332 LEC 1,Consumer Behaviour,16W,3,TR 9:30AM-10:45AM,Saima Mujtaba Rana
MKTG 343 LEC 1,Marketing Models,16W,3,TR 12:30PM-1:45PM,Muhammad Asim
MKTG 392 LEC 1,Brand Management,16W,3,TR 5:00PM-6:15PM,Ismail Hussain Naqvi
ORSC 201 LEC 1,Organizational Behaviour,16W,3,MW 11:00AM-12:15PM,Mohsin Bashir
ORSC 8101 SEM 1,Seminar in Organizational Behavior,16W,3,F 9:30AM-12:30PM,Faiza Ali
ORSC 8201 SEM 1,Seminar in Organization Theory,16W,3,T 12:30PM-3:30PM,TBA
PHIL 102 LEC 1,Philosophy Gym,16W,4,TR 10:00AM-11:50AM,Amber Riaz
PHIL 132 LEC 1,Introduction to Logic,16W,4,MW 8:00AM-9:50AM,Ali Nosherwan Hamed
PHIL 225 LEC 1,Moral Philosophy,16W,4,MW 2:00PM-3:50PM,Syed Sikander Gilani
PHY 104 LEC 1,Modern Physics,16W,4,MW 3:00PM-4:50PM,Muhammad Faryad
PHY 300 LAB 1,Experimental Physics Lab II,16W,3,M 9:30AM-6:20PMMuhammad,Hamza
PHY 300 LEC 1,PHY 304 Computational Physics,16W,3,TR 3:30PM-4:45PM,Adam Zaman Chaudhry
PHY 304 LEC 1,PHY 305 Electromagnetic Fields and Waves,16W,3,WF 9:30AM-10:45AM,Aeysha Khalique
PHY 305 LEC 1,PHY 312 Quantum Mechanics II,16W,3,MW 11:00AM-12:15PMMuhammad,Sabieh
PHY 411 LEC 1,Quantum Optics,16W,3,MW 3:30PM-4:45PMMuhammad,Sabieh
PHY 411 LEC 1,PHY 442 General Relativity,16W,3,MW 12:30PM-1:45PM,Syed Moeez Hassan
PHY 442 LEC 1,PHY 544 Topological Methods in Physics,16W,3,F 2:00PM-3:50PM,Rizwan Khalid
PHY 612 LEC 1,POL 100 Introduction to Political Science,16W,4,TR 8:00AM-9:50AM,TBA
POL 203 LEC 1,Introduction to Political Theory,16W,4,MW 4:00PM-5:50PM,Adeel Hamza
POL 225 LEC 1,Politics of South Asia,16W,4,TR 10:00AM-11:50AM,Maham Nasir
POL 247 LEC 1,Youth Political Activism,16W,4,TR 8:00AM-9:50AMMuhammad,Nawfal
POL 320 LEC 1,Comparative Politics,16W,4,TR 12:00PM-1:50PMHafiz,Muhammad
POL 331 LEC 1,Pakistan's Foreign Relations,16W,4,TR 10:00AM-11:50AM,Shahid Malik
POL 353 LEC 1,"""US Foreign Policy",16W,4,MW 12:00PM-1:50PM,TBA
POL 364 LEC 1,Quantitative Research Method,16W,4,TR 12:00PM-1:50PM,TBA
POL 368 LEC 1,The Political History of the Cold  War,16W,4,MW 4:00PM-5:50PM,Taimur Rahman
POL 414 LEC 1,POL 444 Institutions and Institutional Changes,16W,4,TR 2:00PM-3:50PM,TBA
POL 465 LEC 1,Security in Global Politics,16W,4,TR 2:00PM-3:50PM,Vito Morisco
PSY 201 LEC 1,Cognition,16W,4,MW 4:00PM-5:50PM,Yasser Hashmi
PSY 204 LEC 1,Human Memory,16W,4,MW 10:00AM-11:50AM,Yasser Hashmi
PSY 216 LEC 1,Classic Texts in Psychology,16W,4,TR 3:30PM-5:20PM,Humair Yusuf
PSY 220 LEC 1,Psychopathology,16W,4,TR 2:00PM-3:50PM,Tahira Haider
PSY 224 LEC 1,Counseling and Psychotherapy,16W,4,MW 4:00PM-5:50PM,Humair Yusuf
PSY 304 LEC 1,Moral Psychology,16W,4,MW 8:00AM-9:50AMMuhammad,Azam
PSY 316 LEC 1,PSY 320 Personality Theories,16W,4,MW 10:00AM-11:50AM,Imran Rashid
REL 214 LEC 1,REL 217 Introduction to World Religions,16W,4,MW 10:00AM-11:50AM,Ateeb Gul
REL 236 LEC 1,REL 312 Logic and Rhetoric in the Quran,16W,4,TR 8:00AM-9:50AM,Basit Bilal Koshul
REL 343 LEC 1,SCI 205 Modeling the Environment,16W,3,TR 3:30PM-4:45PM,Talha Manzoor
SCI 205 LEC 1,SCI 210 Energy and Information,16W,3,TR 2:00PM-3:15PM,Walther Schwarzacher
